target,hdf5_path,total_models,written_models,skipped_valid_models,failed_models,errors
1acb,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1acb.hdf5,1350,1350,0,0,
1atn,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1atn.hdf5,0,0,0,0,
1avx,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1avx.hdf5,1233,1233,0,0,
1ay7,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1ay7.hdf5,1318,1318,0,0,
1bkd,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1bkd.hdf5,0,0,0,0,
1buh,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1buh.hdf5,1303,1303,0,0,
1bvn,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1bvn.hdf5,1315,1315,0,0,
1c3a,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1c3a.hdf5,0,0,0,0,
1cgi,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1cgi.hdf5,1362,1362,0,0,
1clv,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1clv.hdf5,1334,1334,0,0,
1d6r,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1d6r.hdf5,797,797,0,0,
1dfj,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1dfj.hdf5,1164,1164,0,0,
1e96,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1e96.hdf5,692,692,0,0,
1euv,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1euv.hdf5,1328,1328,0,0,
1f34,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1f34.hdf5,1241,1241,0,0,
1f60,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1f60.hdf5,1259,1259,0,0,
1fc2,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1fc2.hdf5,1168,1168,0,0,
1fle,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1fle.hdf5,1488,1488,0,0,
1fq1,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1fq1.hdf5,1069,1069,0,0,
1ggp,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1ggp.hdf5,0,0,0,0,
1gla,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1gla.hdf5,1117,1117,0,0,
1h1v,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1h1v.hdf5,810,810,0,0,
1he8,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1he8.hdf5,1040,1040,0,0,
1ira,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1ira.hdf5,1172,1172,0,0,
1itb,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1itb.hdf5,0,0,0,0,
1j2j,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1j2j.hdf5,1264,1264,0,0,
1j7d,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1j7d.hdf5,1333,1333,0,0,
1kac,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1kac.hdf5,1449,1449,0,0,
1kfu,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1kfu.hdf5,0,0,0,0,
1ktz,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1ktz.hdf5,1200,1200,0,0,
1kxp,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1kxp.hdf5,1104,1104,0,0,
1m10,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1m10.hdf5,1164,1164,0,0,
1mah,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1mah.hdf5,1430,1430,0,0,
1mbv,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1mbv.hdf5,874,874,0,0,
1n1j,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1n1j.hdf5,1364,1364,0,0,
1nw9,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1nw9.hdf5,1354,1354,0,0,
1oc0,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1oc0.hdf5,1273,1273,0,0,
1oph,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1oph.hdf5,1107,1107,0,0,
1pdk,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1pdk.hdf5,0,0,0,0,
1ppe,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1ppe.hdf5,1474,1474,0,0,
1qav,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1qav.hdf5,1367,1367,0,0,
1r0r,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1r0r.hdf5,1405,1405,0,0,
1r8o,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1r8o.hdf5,1307,1307,0,0,
1r8s,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1r8s.hdf5,1328,1328,0,0,
1ry7,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1ry7.hdf5,1254,1254,0,0,
1spp,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1spp.hdf5,0,0,0,0,
1t6b,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1t6b.hdf5,1218,1218,0,0,
1tfo,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1tfo.hdf5,0,0,0,0,
1tmq,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1tmq.hdf5,1408,1408,0,0,
1udi,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1udi.hdf5,1385,1385,0,0,
1ugh,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1ugh.hdf5,1344,1344,0,0,
1ugq,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1ugq.hdf5,1141,1141,0,0,
1us7,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1us7.hdf5,555,555,0,0,
1vet,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1vet.hdf5,1215,1215,0,0,
1wmh,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1wmh.hdf5,1389,1389,0,0,
1wqj,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1wqj.hdf5,1380,1380,0,0,
1wrd,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1wrd.hdf5,1357,1357,0,0,
1xg2,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1xg2.hdf5,1002,1002,0,0,
1y64,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1y64.hdf5,626,626,0,0,
1z5y,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1z5y.hdf5,1128,1128,0,0,
1zhh,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1zhh.hdf5,1107,1107,0,0,
1zhi,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1zhi.hdf5,1223,1223,0,0,
1zli,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/1zli.hdf5,1322,1322,0,0,
2a5t,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/2a5t.hdf5,771,771,0,0,
2a9k,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/2a9k.hdf5,1254,1254,0,0,
2ayo,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/2ayo.hdf5,869,869,0,0,
2b42,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/2b42.hdf5,1359,1359,0,0,
2bkr,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/2bkr.hdf5,875,875,0,0,
2btf,/nfs/roberts/project/pi_co54/jas485/ppi_processed_graphs/2btf.hdf5,1353,1353,0,0,
